POINT_X,POINT_Y,HARV88,HARV95,HARV2010,Dhat1988,Dhat1995,Dhat2015
490229.7151,5101595.158,0.6324,0.637,0.653,0.014869785,0.014514313,0.013342778
490729.7151,5101595.158,0.5986,0.5963,0.598,0.017763029,0.017979231,0.017819178
491229.7151,5101595.158,0.5385,0.5425,0.5425,0.024367378,0.023860044,0.023860044
491729.7151,5101595.158,0.5926,0.5855,0.5858,0.01833257,0.019030164,0.019000158
492229.7151,5101095.158,0.724,0.7243,0.7254,0.009184482,0.00917,0.009117096
492729.7151,5101595.158,0.5937,0.6051,0.6049,0.018226804,0.017165976,0.017184044
493229.7151,5101595.158,0.4271,0.4449,0.4447,0.043781409,0.03986829,0.039910254
483729.7151,5101095.158,0.1251,0.2579,0.589,0.214375528,0.106612555,0.018683024
484229.7151,5101095.158,0.1019,0.1781,0.7068,0.242199382,0.162219325,0.010054168
484729.7151,5101095.158,0.1738,0.1623,0.7538,0.16593021,0.176277116,0.007851992
485229.7151,5101095.158,0.4076,0.3967,0.7994,0.048510452,0.051373028,0.006177485
485729.7151,5101095.158,0.5431,0.5354,0.7852,0.023784861,0.02476797,0.006656563
486229.7151,5101095.158,0.7567,0.7452,0.817,0.007733127,0.008215341,0.005631272
486729.7151,5101095.158,0.8626,0.8586,0.8715,0.004430353,0.004524555,0.00422773
487229.7151,5101095.158,0.8743,0.8815,0.8958,0.004165921,0.004011099,0.00372046
487729.7151,5101095.158,0.7309,0.7395,0.7718,0.008857117,0.008465383,0.007142674
488229.7151,5101095.158,0.652,0.6563,0.6986,0.013413146,0.013113173,0.010497313
488729.7151,5101095.158,0.6132,0.6124,0.6513,0.016449964,0.016519331,0.013462624
489229.7151,5101095.158,0.6596,0.6587,0.6848,0.012887518,0.012948673,0.011287628
489729.7151,5101095.158,0.7493,0.7461,0.7538,0.008040066,0.008176542,0.007851992
490229.7151,5101095.158,0.7255,0.7269,0.7275,0.009112301,0.009045445,0.009016942
490729.7151,5101095.158,0.7547,0.7486,0.7489,0.007814909,0.008069724,0.008057
491229.7151,5101095.158,0.747,0.7499,0.751,0.008137925,0.008014731,0.007968492
491729.7151,5101095.158,0.7097,0.7109,0.712,0.009901966,0.009839661,0.009782893
492229.7151,5101095.158,0.724,0.7243,0.7254,0.009184482,0.00917,0.009117096
492729.7151,5101095.158,0.6709,0.6817,0.6817,0.012143831,0.011473193,0.011473193
493229.7151,5101095.158,0.4621,0.477,0.477,0.03641968,0.033674312,0.033674312
483729.7151,5100595.158,0.1512,0.2033,0.5988,0.186875623,0.142080995,0.017744352
484229.7151,5100595.158,0.1165,0.1326,0.6553,0.224295702,0.206083057,0.01318233
484729.7151,5100595.158,0.2064,0.1958,0.7409,0.139783008,0.147798119,0.008403273
485229.7151,5100595.158,0.3737,0.3645,0.7302,0.057979719,0.06085447,0.008889789
485729.7151,5100595.158,0.552,0.5428,0.7584,0.022697057,0.023822423,0.007664285
486229.7151,5100595.158,0.7189,0.7106,0.7615,0.009434199,0.0098552,0.007540325
